GeoID,County,Year,Number of establishments,"Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,% Black,% Female,% Hispanic,% Veteran
48247,"Jim Hogg County, Texas",2022.0,75.0,26021.0,6489.0,1184.0,,0.0,0.0,0.0
48249,"Jim Wells County, Texas",2022.0,780.0,466901.0,107756.0,12626.0,0.0,0.0,0.0,0.0
48251,"Johnson County, Texas",2022.0,3341.0,2188117.0,491505.0,42150.0,0.0,19.5454545454545,0.0,0.0
48253,"Jones County, Texas",2022.0,263.0,100734.0,23173.0,2022.0,0.0,13.7096774193548,0.0,0.0
48255,"Karnes County, Texas",2022.0,331.0,423218.0,128223.0,5264.0,,8.92193308550185,0.0,2.60223048327137
48257,"Kaufman County, Texas",2022.0,2435.0,1403045.0,328790.0,30319.0,2.615518744551,0.0,0.0,5.36181342632955
48259,"Kendall County, Texas",2022.0,1610.0,867124.0,194422.0,15824.0,0.0,17.9045092838196,0.0,0.0
48261,"Kenedy County, Texas",2022.0,18.0,16624.0,3798.0,210.0,,,0.0,
48263,"Kent County, Texas",2022.0,10.0,4411.0,1396.0,49.0,,,,0.0
48265,"Kerr County, Texas",2022.0,1585.0,865972.0,191413.0,17339.0,0.0,16.243654822335,0.0,0.0
48267,"Kimble County, Texas",2022.0,134.0,38805.0,8808.0,983.0,,0.0,0.0,0.0
48269,"King County, Texas",,,,,,0.0,0.0,0.0,0.0
48271,"Kinney County, Texas",2022.0,31.0,15275.0,3298.0,381.0,,,,
48273,"Kleberg County, Texas",2022.0,540.0,279922.0,64132.0,6805.0,0.0,0.0,0.0,0.0
48275,"Knox County, Texas",2022.0,93.0,29646.0,6445.0,646.0,0.0,0.0,0.0,0.0
48277,"Lamar County, Texas",2022.0,1258.0,844148.0,203843.0,19181.0,,0.0,0.0,0.0
48279,"Lamb County, Texas",2022.0,231.0,98632.0,25973.0,2223.0,0.0,16.4192949907235,0.371057513914656,1.76252319109461
48281,"Lampasas County, Texas",2022.0,446.0,153025.0,35865.0,3857.0,,0.0,15.9763313609467,0.0
48283,"La Salle County, Texas",2022.0,146.0,70880.0,18499.0,1537.0,,0.0,0.0,0.0
48285,"Lavaca County, Texas",2022.0,488.0,243441.0,58368.0,5554.0,0.0,25.0,2.88461538461538,0.961538461538461
48287,"Lee County, Texas",2022.0,431.0,280868.0,69867.0,4458.0,,21.259842519685,0.0,0.0
48289,"Leon County, Texas",2022.0,361.0,263900.0,67265.0,4090.0,0.0,0.0,0.636942675159235,0.0
48291,"Liberty County, Texas",2022.0,1157.0,696117.0,169436.0,13674.0,0.0,22.0443349753694,0.0,6.65024630541872
